15,8600,1,0.03,8600,0.03,10000,0.07,0.07,0.07,0.18,0.23,0.07,0.07,0.07,0.11,0.13
16,8600,1,0.03,8600,0.03,10000,0.07,0.07,0.07,0.18,0.23,0.07,0.07,0.07,0.11,0.13
17,8600,1,0.03,8600,0.03,10000,0.07,0.07,0.07,0.18,0.23,0.07,0.07,0.07,0.11,0.13
18,14300,1,0.05,14300,0.05,10000,0.12,0.12,0.12,0.18,0.23,0.07,0.07,0.09,0.11,0.13
19,19900,1,0.08,19900,0.08,10000,0.09,0.09,0.09,0.18,0.23,0.07,0.07,0.09,0.11,0.13
20,50000,2,0.20,25000,0.10,10000,0.07,0.07,0.07,0.18,0.23,0.07,0.07,0.07,0.11,0.13
21,56800,2,0.30,28400,0.15,10000,0.12,0.13,0.14,0.18,0.23,0.07,0.07,0.09,0.11,0.13
22,59600,2,0.32,29800,0.16,10000,0.12,0.13,0.14,0.18,0.23,0.07,0.07,0.09,0.11,0.13
23,65000,2,0.38,32500,0.19,10000,0.12,0.13,0.14,0.18,0.23,0.07,0.07,0.09,0.11,0.13
24,70600,2,0.42,35300,0.21,10000,0.12,0.13,0.14,0.18,0.23,0.07,0.07,0.09,0.11,0.13
25,101200,2,0.58,50600,0.29,10000,0.12,0.13,0.14,0.18,0.23,0.07,0.07,0.09,0.11,0.13
26,166800,3,1.02,55600,0.34,10000,0.12,0.13,0.14,0.18,0.23,0.07,0.07,0.09,0.11,0.13
27,180000,3,1.23,60000,0.41,10000,0.12,0.13,0.14,0.18,0.23,0.07,0.07,0.09,0.11,0.13
28,185400,3,1.35,61800,0.45,10000,0.12,0.13,0.14,0.18,0.23,0.07,0.07,0.09,0.11,0.13
29,191100,3,1.50,63700,0.50,10000,0.12,0.13,0.14,0.18,0.23,0.07,0.07,0.09,0.11,0.13
30,267600,4,2.36,66900,0.59,10000,0.11,0.12,0.12,0.15,0.21,0.07,0.07,0.07,0.10,0.12
